Restaurant Name,Cuisines,Average Cost for two,Price range,Aggregate rating
Minerva's Food & Cocktails,"American, Seafood, Steak",40,3,3.7
Monterrey Mexican Restaurant,Mexican,10,1,3.7
Rebos,"Caribbean, Mexican, Cajun",25,2,3.8
Tokyo Japanese Steakhouse & Sushi Bar,"Japanese, Steak, Sushi",40,3,3.9
Diamond Thai Cuisine,"Asian, Thai, Vegetarian",10,1,4.0
El Fredo Pizza,Pizza,40,3,4.0
Trattoria Fresco,Italian,25,2,4.0
Kahill's Steak-Fish Chophouse,"American, Seafood, Steak",70,4,3.5
Rumba Island Bar & Grill,"BBQ, Caribbean, Seafood",25,2,4.6
Red Mesa Cantina,"Latin American, Mexican, Southwestern",25,2,4.6
BellaBrava,"American, Italian, Seafood",25,2,4.1
Ceviche Tapas Bar & Restaurant,"Spanish, Tapas",25,2,4.1
The Moon Under Water,"British, Bar Food, Sandwich",25,2,4.1
Bern's Steak House,"American, Desserts, Steak",70,4,4.7
Boca Kitchen Bar Market,Breakfast,40,3,3.9
Edison: Food+Drink Lab,International,70,4,3.9
Ceviche Tapas Bar & Restaurant,"Breakfast, Spanish, Tapas",25,2,4.4
Daily Eats,"American, Burger",25,2,4.4
Salt Rock Grill,"American, Seafood, Steak",40,3,4.2
Mazzaro's Italian Market,"Italian, Deli",10,1,4.9
Conch Republic Grill,"Sandwich, Seafood, Steak",40,3,4.5
Mr. Dunderbak's Biergarten and Marketplatz,"European, German",40,3,4.9
Red Mesa Restaurant,"Breakfast, Mexican",40,3,4.5
Datz,"Desserts, Bar Food",40,3,4.7
Ella's Americana Folk Art Cafe,"International, Italian, Southern",40,3,4.8
Taco Bus,"Mexican, Vegetarian",10,1,4.5
The Refinery,"Seafood, Steak",40,3,4.0
Columbia Restaurant,"Cuban, Spanish",40,3,4.4
1918 Bistro & Grill,"Modern Australian, Australian",30,3,4.4
Pig and Whistle,Australian,20,2,4.1
Buffalo Wild Wings,Bar Food,25,2,3.4
El Toreo Mexican Restaurant,Mexican,25,2,3.1
306 North Restaurant,"Seafood, Southern",40,3,3.9
Austins Cattle Co,"Burger, Seafood, Steak",40,3,3.7
Beijing Cafe,"Asian, Chinese, Thai",35,3,3.8
Bleu Cafe,"Pizza, Sandwich",25,2,3.7
Bleu Pub,"Burger, Bar Food, Vegetarian",10,1,3.8
Bubba Jax Crab Shack,"Fast Food, Seafood",40,3,3.7
Cheddar's Scratch Kitchen,American,25,2,3.7
El Cazador,Mexican,10,1,3.7
Friends Grille and Bar,"American, Southern",25,2,3.9
Giulios Greek & Italian Restaurant,"Greek, Italian",40,3,3.8
La Jalisco Supermercato,Mexican,10,1,3.5
Masato Japanese,"Japanese, Sushi",25,2,3.9
Mom & Dad's Italian Restaurant,Italian,25,2,3.7
Mori's Japanese Steakhouse & Sushi Bar,"Japanese, Steak, Sushi",70,4,3.5
Passage 2 India,"Indian, Middle Eastern",25,2,3.8
Rodeo Mexican Restaurant,Mexican,25,2,3.8
Steel Magnolias,Southern,40,3,3.8
Smok'n Pig B-B-Q,BBQ,25,2,4.1
Blue House Cafe,"Coffee and Tea, Mediterranean",10,1,4.3
Anchorage Cafe Restaurant Wine Bar,"Coffee and Tea, Tapas, Australian",20,2,3.6
Lake House Restaurant,"Italian, Mediterranean, Pizza",70,4,4.3
Masala Grill & Coffee House,"Indian, Middle Eastern",10,1,3.2
Brown Bottle The Cedar Falls,"Italian, Pizza, Vegetarian",25,2,3.7
Four Queens Dairy Cream,Desserts,10,1,3.9
Hong Kong Chinese Restaurant,Chinese,10,1,3.8
HuHot Mongolian Grill,"Asian, Chinese",25,2,3.7
J's Homestyle Cooking,"American, Breakfast",10,1,3.6
Montage,"American, Italian, Seafood",40,3,3.6
Mulligan's Brick Oven Grill,"Burger, Pizza, Sandwich",25,2,3.6
Sakura,"Japanese, Sushi",40,3,3.8
Scratch,"Coffee and Tea, Desserts, Beverages",10,1,3.7
SOHO Sushi Bar & Deli,"Sandwich, Sushi, Tapas",25,2,3.6
Texas Roadhouse,"American, BBQ, Steak",25,2,3.6
Tony's La Pizzeria,"Pizza, Sandwich",25,2,3.6
Chapala,Mexican,25,2,3.6
Galleria de Paco,American,40,3,3.6
Golden China,Chinese,10,1,3.7
Rudy's Tacos,Mexican,25,2,3.6
The Screaming Eagle,"American, Bar Food",10,1,3.7
The Thai Bowl,Thai,10,1,3.5
Tokyo Japanese Steak House,"Japanese, Steak, Sushi",25,2,3.9
Theo Yianni's Authentic Greek Restaurant,"Burger, Greek, Sandwich",25,2,3.9
Fishpatrick's Crabby Cafe,"Burger, Seafood, Steak",25,2,3.2
Arigato Sushi,Asian,25,2,3.3
Denny's,American,190,4,4.6
Famous Dave's Barbecue,American,260,4,4.6
Pizza Di Rocco,"Italian, Pizza",150,3,4.4
Sofra Istanbul,"Turkish, Arabian, Middle Eastern",70,2,4.3
Salt,"Fast Food, Burger",100,3,4.2
Genghis Grill,Asian,180,4,4.6
Olive Garden,"Italian, Pizza",230,4,4.1
Cho Gao - Crowne Plaza Abu Dhabi,"Thai, Japanese, Chinese, Indonesian, Vietnamese",350,4,4.4
Gazebo,"Indian, North Indian, Mughlai, Biryani",120,3,4.0
Sangeetha Vegetarian Restaurant,"Indian, South Indian",60,2,3.6
Hot Palayok,"Filipino, Japanese, Asian",100,3,4.5
Applebee's,"American, Mexican, Seafood",250,4,4.0
Tikka Tonight,"Pakistani, Afghani, Indian, Hyderabadi",50,2,4.0
Bait El Khetyar,"Lebanese, Arabian, Middle Eastern",70,2,4.0
Indian By Nature,Indian,80,3,4.3
Via Delhi,"Indian, North Indian, Chinese",100,3,4.0
Punjab Grill,"Indian, North Indian",330,4,4.9
Tamba,Indian,500,4,4.7
P.F. Chang's,Chinese,250,4,4.2
The Cheesecake Factory,"American, Desserts",200,4,4.6
The Farm,"Mediterranean, Italian, Thai, European",280,3,3.9
Maharaja Bhog,"Indian, Rajasthani",90,2,4.1
Rasoi Ghar,Indian,90,2,4.3
Barbeque Nation,"Indian, North Indian",150,3,4.5
Farzi Cafe,"International, Indian",200,3,4.5
AB's Absolute Barbecues,"Continental, Indian",160,3,4.9
Carnival By Tresind,Indian,500,4,4.9
AB's Absolute Barbecues,"Indian, Continental",160,3,4.8
Hard Rock Cafe,"American, Burger",300,4,4.5
The Coffee Club,Cafe,140,3,4.5
SALT,"Fast Food, Burger",100,3,4.3
Din Tai Fung,"Asian, Chinese",160,3,4.3
SpiceKlub,"Indian, North Indian, Street Food",150,3,4.4
Tresind - Nassima Royal Hotel,Indian,500,4,4.9
Grand Barbeque Buffet Restaurant,"Indian, Asian",150,3,4.4
Red Lobster,"Seafood, American",285,3,3.2
The Cheesecake Factory,"American, Desserts",270,3,4.7
Parker's,"Cafe, Burger",170,3,4.3
Applebee's,"American, Mexican, Burger",250,3,3.7
Grub Shack,"Goan, Chinese, Indian, North Indian",130,3,4.3
Kamat,"Indian, North Indian, South Indian, Chinese",85,3,3.9
Vadakkan Pepper,South Indian,70,3,3.8
Gazebo,"Indian, Mughlai, South Indian, Biryani",120,4,4.1
Katis Restaurant,"Indian, North Indian, Chinese",65,3,4.3
Zaroob,Lebanese,110,4,3.9
Derby,"Fast Food, American",40,2,4.1
Nayaab Haandi,"Pakistani, Indian",100,4,4.1
Najmat Lahore Restaurant,"Pakistani, Indian, Mughlai",80,3,4.2
Saffron,"Pakistani, Chinese, Indian, Afghani",90,3,4.1
Pizza Hut,"Fast Food, Pizza",80,3,2.4
Al Mukhtar Bakery,"Bakery, Arabian, Middle Eastern",50,2,4.2
Aroos Damascus,"Arabian, Middle Eastern",60,3,4.2
Nando's,"African, Portuguese",160,4,4.2
Peking Chinese Restaurant,"Chinese, Thai",130,4,3.8
TGI Friday's,"American, Mexican",250,4,3.9
Rajasthan Al Malaki,"Indian, North Indian",60,3,4.8
Applebee's,"American, Mexican, Burger",250,4,4.1
Paper Fig,"Cafe, Bakery, Desserts",150,4,4.5
Sis Burger,"Fast Food, Burger",50,2,3.8
Crafted Blends,Cafe,110,4,4.2
Jahanpanah,"North Indian, Mughlai",850,3,3.9
Rangrezz Restaurant,"North Indian, Mughlai",700,2,3.5
Time2Eat - Mama Chicken,North Indian,500,2,3.6
Chokho Jeeman Marwari Jain Bhojanalya,Rajasthani,400,2,4.0
Pinch Of Spice,"North Indian, Chinese, Mughlai",1000,3,4.2
MoMo Cafe,"North Indian, European",2000,4,4.0
Peshawri - ITC Mughal,"North Indian, Mughlai",2500,4,4.3
Taj Bano - ITC Mughal,Mughlai,2500,4,4.0
G Thal,"Rajasthani, Gujarati, Mughlai",800,3,3.6
Dawat-e-Nawab - Radisson Blu,"North Indian, Mughlai",3600,4,3.8
The Latitude - Radisson Blu,"North Indian, Chinese, Continental",0,1,3.9
Dasaprakash Restaurant,"South Indian, Desserts",550,2,4.1
The Charcoal Chimney,"North Indian, Chinese, Continental, Mughlai",1100,3,3.4
Sheroes Hangout,"Cafe, North Indian, Chinese",0,1,4.9
Bon Barbecue,"North Indian, Chinese, Continental",1500,4,3.8
Chapter 1 Cafe,"Cafe, Italian, Mexican, North Indian, Continental",0,1,3.9
Pind Balluchi,"North Indian, Mughlai",900,3,3.7
Pizza Hut,"Italian, Pizza",700,2,4.4
Tea'se Me - Rooftop Tea Boutique,"Chinese, Italian, Continental, North Indian",1000,3,4.2
Thaaliwala,"North Indian, Fast Food",700,2,4.1
650 - The Global Kitchen,"Chinese, Italian, North Indian, Mexican, Mediterranean, Thai",900,3,4.2
Patang - The Revolving Restaurant,"Continental, Chinese, North Indian",1800,4,3.7
Huber & Holly,"Ice Cream, Desserts, Continental",300,1,4.5
@Mango,"North Indian, Continental, Mexican, Italian",800,3,4.1
Fozzie's Pizzaiolo,"Pizza, Italian, Beverages, Desserts",900,3,4.3
La Pino'z Pizza,"Pizza, Italian",500,2,4.4
Mocha,"Cafe, Continental, Desserts",1000,3,4.4
Blue -  Rooftop Cafe Restaurant Bistro,"North Indian, Cafe, Italian, Mexican, Continental",1000,3,3.8
MoMo Caf�� - Courtyard By Marriott,"North Indian, South Indian, Asian, Continental",1400,3,3.6
Cryo Lab,"Desserts, Ice Cream",350,2,4.6
Swati Snacks,"Fast Food, Street Food, South Indian",450,2,4.4
Brick Kitchen,"North Indian, Chinese, Continental",900,3,4.3
Kabir Restaurant,"North Indian, Chinese, Continental, Desserts, Fast Food, Sandwich",600,2,3.8
Puffizza,"Italian, Fast Food",700,2,4.3
Cafe Alfresco,"Cafe, Beverages, Desserts, Pizza",700,2,4.0
The Cafe Baraco,"Cafe, Italian",600,2,4.4
Nini's Kitchen,"North Indian, Continental, Beverages, Italian, Burger, Healthy Food, Mediterranean",950,3,4.5
Yanki Sizzlers,"Continental, Italian, Chinese",1200,3,4.1
The Garden Cafe - The Fern,"North Indian, Italian, Asian, South Indian",1200,3,4.1
Mazzo,"Cafe, American, Continental, Armenian, Fast Food",550,2,3.9
Turquoise Villa,Continental,1200,3,4.0
Aryan Family's Delight,"North Indian, South Indian, Fast Food",500,3,3.4
Bean Here,"Cafe, Fast Food",350,2,3.3
Bikanerwala,"North Indian, Street Food, Fast Food",500,3,3.2
Dewsis,"North Indian, Chinese",600,3,3.4
Friends Forever,"North Indian, Chinese",600,3,3.4
Hotel Ravisha Continental,"North Indian, South Indian, Chinese",600,3,3.4
KFC,"American, Fast Food",500,3,3.4
McDonald's,Fast Food,400,2,3.3
Pind Balluchi,"North Indian, Mughlai",800,3,3.2
Pizza Hut,"Italian, Pizza",700,3,3.4
Subway,"Fast Food, American, Salad, Healthy Food",400,2,3.4
Tandoor Restaurant,"North Indian, Chinese",500,3,3.2
The BrewMaster,"North Indian, Chinese, Italian",0,1,3.3
The Tamarind Tree,"South Indian, Chinese",500,3,3.4
Cafe El Chico,"Continental, Italian",1000,4,3.6
Eat On,North Indian,200,1,3.7
Hot Stuff,"North Indian, Fast Food",500,3,3.5
Paradise,"Desserts, Fast Food",500,3,3.6
Sagar Ratna,"South Indian, North Indian, Chinese, Continental",400,2,3.5
Moti Mahal Delux,"Mughlai, North Indian, Chinese",800,3,3.3
Makhan Fish and Chicken Corner,"North Indian, Chinese",700,2,3.4
Charming Chicken,North Indian,300,1,3.9
Ahuja Milk Bhandar,Beverages,100,1,4.0
Crystal Restaurant,"North Indian, Mughlai",800,3,3.4
Brijwasi Chat Bhandar,Street Food,150,1,3.6
Bubby Fish & Chicken Corner,North Indian,300,1,3.5
Bon Gateau,"Cafe, Bakery, Fast Food",500,2,3.4
The Yellow Chilli,"North Indian, Mughlai, Chinese",1200,3,3.4
La Roma Pizzeria,"Fast Food, Italian",400,2,3.5
Sakhis Watz Kukin,"North Indian, Chinese",700,2,3.6
The Kulcha Land,"North Indian, Street Food",200,1,3.9
Shudh Restaurant,"North Indian, South Indian, Chinese, Fast Food",600,2,3.4
Bade Bhai Ka Brothers' Dhaba,"North Indian, Fast Food",500,2,3.7
Bharawan Da Dhaba,"North Indian, Fast Food",500,2,3.5
Brothers Dhaba,North Indian,500,2,3.8
Brothers' Amritsari Dhaba,North Indian,400,2,3.8
Gurdas Ram Jalebi Wala,Mithai,100,1,4.1
Kesar Da Dhabha,North Indian,500,2,4.1
Beera Chicken Corner,North Indian,500,2,3.8
Surjit Food Plaza,North Indian,1000,3,3.5
Kanha Sweets,Fast Food,150,1,4.1
Kream N Krunch,"North Indian, Chinese, Continental, Italian",800,3,3.6
Balbeer's Kitchen & Bar,"Italian, Continental, Chinese, North Indian",850,3,3.3
Angeethi Restaurant,"North Indian, Chinese",600,2,3.3
Domino's Pizza,Pizza,700,2,3.1
Hotel Laadli,"North Indian, South Indian",350,2,3.4
Indiana Veg Restaurant,"South Indian, North Indian, Chinese, Fast Food",450,2,3.4
Madhuban Restaurant - Welcome Hotel Rama International,"North Indian, Chinese, Continental, Italian, Mexican",1800,4,3.4
Mauj Restaurant,"Italian, Fast Food, North Indian, Chinese",500,2,3.3
Naivedya,North Indian,500,2,3.4
d' Curry House,"Continental, Chinese, Biryani, North Indian",1000,3,3.6
Mokoholic Juice Bar,"Juices, Desserts",300,1,3.5
Ashoka's Veg Restaurant,"South Indian, Chinese, North Indian",400,2,3.3
Kareem's Fine Dining,"Mughlai, Biryani",700,2,3.3
That Baat,Maharashtrian,450,2,3.4
Bhoj Restaurant,North Indian,450,2,3.7
Downside Up,"Cafe, Mughlai, North Indian",400,2,3.2
Kareem's Kabab & Biryani,Mughlai,650,2,3.4
Great Sagar Restaurant,"North Indian, Mughlai",600,2,3.3
Kailash Restaurant,"North Indian, Chinese, South Indian, Fast Food",450,2,3.3
Yalla Yalla,"North Indian, Hyderabadi",500,2,3.3
Sultans of Spice,"North Indian, Mughlai",1300,3,4.1
The Fatty Bao - Asian Gastro Bar,Asian,2400,4,4.7
Toit,"Italian, American, Pizza",2000,4,4.8
Three Dots & A Dash,"European, Continental",1300,3,3.9
Bombay Brasserie,Modern Indian,1500,3,4.2
Glen's Bakehouse,"Bakery, Desserts, Cafe",800,2,4.0
Onesta,"Pizza, Cafe, Italian",600,2,4.3
Onesta,"Pizza, Cafe, Italian",600,2,4.6
ECHOES Koramangala,"Continental, American, Italian, North Indian, Chinese, Cafe",950,2,4.7
Truffles,"American, Burger, Cafe",800,2,4.7
The Black Pearl,"North Indian, European, Mediterranean",1400,3,4.1
Eat Street,"North Indian, Chinese, Italian, Street Food, Desserts",400,1,4.3
Koramangala Social,"Continental, American",1500,3,4.5
AB's - Absolute Barbecues,"European, Mediterranean, North Indian",1400,3,4.6
Flechazo,"Asian, Mediterranean, North Indian",1200,3,4.4
Onesta,"Pizza, Cafe, Italian",600,2,4.6
Communiti,Continental,1200,3,4.2
Big Brewsky,"Finger Food, North Indian, Italian, Continental, Thai, South Indian",1800,3,4.5
Hoot,"Continental, Italian, North Indian",1400,3,3.9
Farzi Cafe,Modern Indian,1500,3,4.4
Black N White Cafe,"Cafe, Chinese, North Indian",200,1,3.3
Maybe There,Cafe,600,2,3.4
Sagar Gaire Fast Food,Fast Food,250,1,4.9
The Kasbah,"North Indian, Chinese",700,2,3.9
Bake N Shake,Fast Food,500,2,4.2
10 Downing Street,"North Indian, Chinese",1000,3,4.0
Chi Kitchen,Chinese,1000,3,4.0
Pizza Hut,Pizza,650,2,4.1
Kafe Kulture,"Cafe, Fast Food",600,2,3.8
Violet Hour,Bakery,500,2,3.8
Bapu Ki Kutia,"North Indian, Chinese, South Indian, Fast Food",550,2,3.5
Da pizzeria,"Pizza, Italian, Fast Food",500,2,3.6
Papa Mexicano,"Fast Food, Mexican, Tex-Mex",350,2,3.6
Bake N Shake,Fast Food,500,2,4.1
Manohar Dairy And Restaurant,"North Indian, South Indian, Street Food, Bakery",400,2,4.4
Manohar Dairy And Restaurant,"North Indian, South Indian, Street Food, Bakery",400,2,4.1
Kebabsville - Sayaji Hotel,North Indian,1800,4,4.3
Indian Coffee House,South Indian,500,2,3.9
The Urban Socialite,"Italian, Mexican, Chinese",900,3,3.8
Bake N Shake,Fast Food,500,2,4.3
Tyre Patty,Cafe,500,2,3.9
Silver Streak,Chinese,550,2,4.1
Barbeque Nation,"Mediterranean, Asian, Continental, North Indian, Arabian",1200,3,4.6
Central Perk 7,"Cafe, Charcoal Grill, Steak",600,2,4.5
The Chicken Dinesty,"Fast Food, North Indian, Chinese",500,2,3.9
Taste Of China,Chinese,500,2,4.0
Michael's Kitchen,"North Indian, Asian, European",850,2,3.7
Mamma Mia - Mayfair Lagoon,"Cafe, Italian, Mexican, Bakery",1400,3,4.1
99 North Restaurant,"North Indian, Chinese",450,1,3.6
Adda,"North Indian, Chinese, Mexican, Beverages",600,2,3.8
Chill Ummm,"Chinese, North Indian, Cafe",450,1,3.7
Lal Qila,"Mughlai, Chinese, North Indian",500,2,3.7
Richard's Kitchen & Coffee Bar,"Cafe, Chinese, Fast Food, Seafood",450,1,3.8
Aangan Horizon,"North Indian, Chinese, Continental",900,2,4.0
Brewberrys The Coffee Bar,Cafe,400,1,4.0
Chai Break,"Italian, Cafe, Chinese, Continental",800,2,4.3
JUGAAD JN.,"North Indian, Rajasthani",300,1,4.1
Cha cTea,"Cafe, Tea",500,2,3.8
Food Fever,"Chinese, North Indian",900,2,4.2
Mainland China,Chinese,1500,3,4.3
Eram Rooftop,"Asian, Continental",400,1,3.5
The Night Factory,"North Indian, Chinese, Continental, Pizza",850,2,3.7
Brooklyn Central,"American, Cafe",1600,3,4.2
Chili's,"Mexican, American, Italian",1400,3,4.3
Kylin Experience,"Japanese, Chinese, Thai, Malaysian, Burmese, Asian",1600,3,4.1
Mocha,"Continental, Italian, Thai, Finger Food",1400,3,4.0
Pirates of Grill,"North Indian, Continental, Asian",1200,3,4.0
Barbeque Nation,"North Indian, Chinese",1300,3,4.5
TGI Friday's,"American, Tex-Mex",1800,3,4.3
Pal Dhaba,North Indian,700,2,3.8
Midnight Chef,"North Indian, Chinese, Continental, Italian, Burger",1000,3,3.4
Nik Baker's,"Bakery, Desserts, Cafe",650,2,4.1
OvenFresh,"Cafe, Bakery",650,2,4.1
Super Donuts,"Burger, Fast Food, Desserts, Beverages",450,1,4.0
Taco Bell,"Mexican, Fast Food",600,2,4.2
Karim's,"Mughlai, North Indian",800,2,3.3
Virgin Courtyard,Italian,2200,4,4.4
Burgrill,"Burger, Fast Food",500,2,4.5
Uncle Jack's,"Desserts, American",600,2,4.0
That Madras Place,"European, Italian, Desserts",800,2,4.2
Haunted,"North Indian, Chinese, Arabian",800,2,3.8
Pantry d'or,"Continental, Cafe, Italian, Desserts",750,2,4.4
Palmshore,"North Indian, Mughlai, Chinese, South Indian",850,2,4.2
Chili's,"Mexican, American, Tex-Mex, Burger",1700,3,4.8
Writer's Cafe,"Cafe, European",450,1,4.2
Fusilli Reasons,Italian,350,1,4.6
Ciclo Cafe,"Cafe, Continental",1100,3,4.1
Kaidi Kitchen,"Italian, Mexican, Chinese, Thai, North Indian",1500,3,4.0
Bombay Brasserie,North Indian,1200,3,4.6
Maplai,"South Indian, Chettinad",1000,3,4.2
Paradise,"Biryani, North Indian",900,2,3.8
L'amandier,"European, Cafe, Italian",1200,3,4.3
Palmshore,"North Indian, Mughlai, Chinese, South Indian",850,2,4.4
Palmshore,"North Indian, Mughlai, Chinese, South Indian",850,2,4.3
Basil With A Twist,"Continental, Cafe, Spanish, Italian, European, Greek, Mediterranean",1500,3,4.5
Barbeque Nation,"North Indian, Continental",2000,4,4.4
AB's - Absolute Barbecues,"North Indian, European, Mediterranean",1600,3,4.9
Coal Barbecues,"North Indian, Mediterranean, Asian, Arabian",1400,3,4.6
Pind,"North Indian, Chinese",900,2,4.0
Kuchi n Kream,"Cafe, Continental, Fast Food",800,3,4.6
Haribhavanam Hotel,"South Indian, Chettinad, North Indian",600,2,3.9
Kites Cafe,Cafe,400,2,3.8
Zucca Pizzeria,Pizza,600,2,3.5
Burger Ka Baap,Fast Food,500,2,4.3
The Cascade Restaurant,Chinese,1200,3,4.1
24 Plus Cafe & Restaurant,"Continental, Fast Food, Desserts, Indian",450,2,3.8
Valarmathi Kongunaatu Samayal,"South Indian, Biryani",350,2,4.5
Bird On Tree,"Continental, Chinese, Thai, Malaysian, North Indian",1200,3,3.8
Tim's Bistro,"North Indian, Continental",700,2,3.9
Batlivala & Khanabhoy,"Parsi, North Indian",1200,3,4.2
Cafe Totaram,"Cafe, Fast Food",600,2,4.0
Cream Centre,"North Indian, Chinese, Italian, Mexican",1000,3,4.0
On The Go,"Italian, North Indian, Desserts",1500,4,4.0
Sree Annapoorna,"South Indian, North Indian, Chinese",400,2,4.3
That's Y Food,"North Indian, Biryani",1400,3,4.2
CakeBee,"Bakery, Desserts",350,2,4.9
Yari,"North Indian, Chinese, Street Food",700,2,4.2
Cream Stone,"Desserts, Ice Cream",300,1,4.3
Barbeque Nation,"North Indian, European, Mediterranean",1400,3,4.4
The Punjabi Essence Restaurant,"North Indian, Chinese",800,3,3.6
Tirupati Restaurant,"South Indian, North Indian, Chinese",500,3,3.8
Anandam,"Desserts, North Indian, Chinese, South Indian, Fast Food, Street Food",650,3,3.9
Town Table Restaurant,"North Indian, Chinese, Continental",1000,4,3.9
Kalsang Friends Corner,"Chinese, Thai, Tibetan",750,3,4.2
The Great Indian Pub,North Indian,1500,4,4.9
BMG - All Day Dining,"Chinese, North Indian, Fast Food",0,1,4.3
Punjab Grill,"Mughlai, North Indian",1250,4,4.0
TBistro,"North Indian, Chinese",550,3,3.8
Y Cafe & Restaurant,Cafe,500,3,4.0
Eddie's Patisserie,Bakery,350,2,4.1
First Gear Cafe,"Cafe, Chinese",700,3,3.9
Dunkin Donuts,"Burger, Desserts",600,3,3.9
Doon Darbar,"North Indian, Mughlai",600,3,3.9
Razzmatazz,Cafe,400,2,3.9
Barbeque Nation,"North Indian, Mediterranean, Asian, Chinese",1600,4,4.4
Black Pepper Restaurant,"North Indian, Chinese",1200,4,4.0
Cafe Marigold,"Cafe, Chinese, Fast Food",500,3,4.1
Jalapenos,"Cafe, Mexican",500,3,4.2
Kalsang AMA Cafe,Cafe,600,3,4.2
Desire Foods,"Chinese, Fast Food, Bakery",250,1,2.9
Knight Rock,"North Indian, Chinese",500,2,2.8
Punjab Restaurant,North Indian,150,1,2.8
Raju Dhaba,North Indian,150,1,2.9
Rakheja Bakery,Bakery,100,1,2.8
Snax Points,"Chinese, North Indian, Fast Food",300,1,3.0
Aggarwal Sweet Corner,Mithai,100,1,0.0
Kashyap Vaishno Dhaba,North Indian,100,1,0.0
Total Food Court,"North Indian, Mughlai, Chinese",400,1,0.0
The Chaiwalas,Cafe,300,1,0.0
Cafe And More,"Fast Food, North Indian",300,1,2.9
Green Chick Chop,"Raw Meats, North Indian, Fast Food",350,1,3.0
Kolkata Hot Kathi Rolls,"Fast Food, Chinese",300,1,2.9
Aapki Rasoi,North Indian,200,1,0.0
Fusion Food Corner,"North Indian, Chinese",300,1,0.0
Punjabi Rasoi,North Indian,400,1,0.0
Kebab Xpress,"North Indian, Mughlai",600,2,2.8
McDonald's,"Fast Food, Burger",500,2,3.4
Suruchi,"North Indian, South Indian, Gujarati, Rajasthani",700,2,3.4
Berco's,"Chinese, Thai",1100,3,3.8
Dunkin' Donuts,"Burger, Desserts, Fast Food",600,2,3.6
The Chocolate Room,"Cafe, Desserts",900,2,3.6
Baskin Robbin,Desserts,300,1,0.0
Popcorn Fusion,Fast Food,200,1,0.0
Subway,"American, Fast Food, Salad, Healthy Food",500,2,0.0
KFC,"American, Fast Food, Burger",500,2,2.1
Barbeque Nation,North Indian,1600,3,4.0
Yo! China,Chinese,1300,3,4.1
Giani's,"Ice Cream, Desserts",400,1,3.2
Momo-Cha,Fast Food,200,1,2.7
Shree Rathnam,"South Indian, North Indian, Chinese",800,2,3.4
Mirage Restro Bar,"North Indian, Mughlai",1000,3,2.4
Jai Jagannath Hotel,South Indian,200,1,0.0
Gelato Vinto,"Desserts, Ice Cream",250,1,2.8
Maggi Point,Fast Food,200,1,0.0
Angaar,"North Indian, Chinese",1200,3,0.0
TcozY,Cafe,1500,3,0.0
The Retriever,"North Indian, Mughlai, Chinese",1500,3,0.0
Bangali Sweets & Restaurant,Mithai,100,1,0.0
Silver,"North Indian, Chinese, Continental",1500,3,0.0
Chill 'N Grill,North Indian,300,1,0.0
Punjabi Restaurant,"North Indian, Mughlai",500,2,0.0
Standard Chicken Point,Mughlai,500,2,0.0
The Grillz & Gravy,"North Indian, Chinese",400,1,0.0
Cakes 'n Bakes - Park Plaza,Bakery,1000,3,3.0
Cafe Bite,Cafe,500,2,3.2
Cafe Light,"Cafe, Chinese, Fast Food",500,2,2.8
Little Cafe,"Fast Food, Beverages",300,1,0.0
Momo-Cha,"North Indian, Chinese",450,1,2.8
Oregano India,"Fast Food, Chinese, Italian",500,2,3.1
Sagar Bakery,Bakery,150,1,3.0
Smugglers,North Indian,450,1,3.1
Welcome,"North Indian, Chinese",700,2,2.9
Giani's,"Ice Cream, Desserts",400,1,0.0
Invitation,North Indian,700,2,0.0
New Dilight,"North Indian, Mughlai, Chinese",500,2,0.0
Chimney,"North Indian, Mughlai, Chinese",800,2,3.3
Chopstick,Chinese,300,1,3.0
Hot & Tasty Chinese Food,"North Indian, Chinese",450,1,2.6
